"First Name","Last Name","Email","Grade 1","Grade 2","Grade 3"
"Anna","Jones","a.jones@randatmail.com","48","92","48"
"Kimberly","Craig","k.craig@randatmail.com","60","07","81"
"Rafael","Mitchell","r.mitchell@randatmail.com","93","80","57"
"John","Thomas","j.thomas@randatmail.com","45","64","91"
"Julian","Morris","j.morris@randatmail.com","43","08","21"
"Connie","Farrell","c.farrell@randatmail.com","58","91","03"
"Justin","Montgomery","j.montgomery@randatmail.com","52","59","17"
"William","Wells","w.wells@randatmail.com","17","39","70"
"Fiona","Foster","f.foster@randatmail.com","48","96","57"
"Bruce","Williams","b.williams@randatmail.com","44","92","59"
"Eddy","Davis","e.davis@randatmail.com","98","98","24"
"Charlie","Douglas","c.douglas@randatmail.com","14","32","93"
"Emily","Kelley","e.kelley@randatmail.com","69","99","26"
"Thomas","Howard","t.howard@randatmail.com","72","75","89"
"Blake","Cooper","b.cooper@randatmail.com","24","36","92"
"Brad","Brown","b.brown@randatmail.com","65","00","81"
"Robert","Craig","r.craig@randatmail.com","02","72","51"
"Agata","Scott","a.scott@randatmail.com","37","94","01"
"Honey","Perkins","h.perkins@randatmail.com","72","95","29"
"Daisy","Hill","d.hill@randatmail.com","10","24","18"
"Brooke","Thompson","b.thompson@randatmail.com","44","70","47"
"Wilson","Williams","w.williams@randatmail.com","56","38","51"
"Alan","Mitchell","a.mitchell@randatmail.com","51","36","86"
"Victor","Farrell","v.farrell@randatmail.com","29","59","40"
"Julian","Bennett","j.bennett@randatmail.com","81","10","12"
"Belinda","Rogers","b.rogers@randatmail.com","85","02","45"
"Kristian","Cooper","k.cooper@randatmail.com","64","16","14"
"Arnold","Crawford","a.crawford@randatmail.com","82","66","33"
"Brooke","Anderson","b.anderson@randatmail.com","62","10","17"
"Kristian","Johnston","k.johnston@randatmail.com","21","29","95"
"Camila","Turner","c.turner@randatmail.com","18","12","26"
"Carlos","Farrell","c.farrell@randatmail.com","86","29","20"
"Sabrina","Johnston","s.johnston@randatmail.com","29","40","02"
"Eric","Moore","e.moore@randatmail.com","63","91","51"
"Maximilian","Baker","m.baker@randatmail.com","00","35","69"
"Jenna","Foster","j.foster@randatmail.com","36","33","64"
"Tess","Hamilton","t.hamilton@randatmail.com","59","03","21"
"Miley","Henderson","m.henderson@randatmail.com","72","64","18"
"James","Hill","j.hill@randatmail.com","39","61","71"
"Nicholas","Owens","n.owens@randatmail.com","38","80","31"
"Carina","Cooper","c.cooper@randatmail.com","44","56","72"
"Jared","Cameron","j.cameron@randatmail.com","95","23","84"
"Dainton","Douglas","d.douglas@randatmail.com","10","14","51"
"Oscar","Turner","o.turner@randatmail.com","49","23","40"
"Sabrina","Richardson","s.richardson@randatmail.com","68","35","85"
"Vivian","Rogers","v.rogers@randatmail.com","48","30","91"
"Lucia","Hill","l.hill@randatmail.com","48","60","77"
"Charlie","Perkins","c.perkins@randatmail.com","62","65","44"
"Chelsea","West","c.west@randatmail.com","56","88","14"
"Mary","Riley","m.riley@randatmail.com","99","00","54"
